Name,Administration,Pop2010,Pop2019,Region,city,city2,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Moskva,GMO,11612885,12432531,Central,Moscow,XYZ123,Mokva,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Novosibirsk,NSB,1473754,1618039,Siberia,XYZ123,XYZ123,Novosibirsky,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kazan,TAT,1143535,1251969,Volga,Kazan,XYZ123,Karan,Kazany,Kapan,Kazar,Sazan,Kazas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Omsk,OMS,1154116,1164815,Siberia,XYZ123,XYZ123,Omsky,Umsk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Samara,SAM,1164685,1156608,Volga,XYZ123,Kujbysev,Sakmara,Samarka,Samaza,Samarga,Samarta,Samará,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ufa,BAS,1062319,1124226,Volga,XYZ123,XYZ123,Ula,Ura,Uba,Uza,Uga,Usa,Uda,Una,Uya,NA,NA,NA,NA,NA,NA,NA,NA
Perm,PER,991162,1053934,Volga,Perm,XYZ123,Permi,Peri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Krasnodar,KND,744995,918145,Southern,XYZ123,XYZ123,Krasnoyar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saratov,SAR,837900,841902,Volga,XYZ123,XYZ123,Saratovo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Irkutsk,IRK,587891,623479,Siberia,XYZ123,XYZ123,Irkutsky,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tomsk,TOM,524669,575352,Siberia,XYZ123,XYZ123,Tomsky,Tymsk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kemerovo,KEM,532981,558662,Siberia,XYZ123,XYZ123,Nemerovo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Penza,PEN,517311,522317,Volga,XYZ123,XYZ123,Menza,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kirov,KIR,473695,512954,Volga,XYZ123,Viatka,Kirovo,Kirova,Kirovo,Kirova,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
