city.title,country.title,N
Cheboxary,Russia,517269
Velikiy Novgorod,Russia,482081
Joshkar-Ola,Russia,303839
Nizhniy Tagil,Russia,266313
Sevastopol,Russia,178533
Blagoveschensk,Russia,173408
Velikie Luki,Russia,95186
Sergiev Posad,Russia,86338
Novocheboxarsk,Russia,78266
Orekhovo-Zuevo,Russia,73655
Elets,Russia,73150
Mytischi,Russia,68126
Eysk,Russia,63236
Ramenskoe,Russia,63008
Elabuga,Russia,60998
Zelenograd,Russia,60572
Essentuki,Russia,55538
Egoryevsk,Russia,47217
Schyolkovo,Russia,46649
Georgievsk,Russia,45887
Yalta,Russia,41418
Usolye-Sibirskoe,Russia,41272
Evpatoria,Russia,40288
Zheleznodorozhny (Balashikha),Russia,38269
Vyshniy Volochek,Russia,38116
Velikiy Ustyug,Russia,37680
Chapaevsk,Russia,36449
Berezovsky,Russia,34272
Pavlovskiy Posad,Russia,32681
Zhigulevsk,Russia,32282
Ruzaevka,Russia,31767
Aznakaevo,Russia,31740
Alexin,Russia,29984
Feodosia,Russia,29774
Schekino,Russia,27289
Efremov,Russia,26044
Tutaev,Russia,25742
Timashevsk,Russia,25595
Ivanteevka,Russia,25427
Vyatskie Polyany,Russia,24967
Alapaevsk,Russia,24354
Vidnoe,Russia,23680
Adler (mikrorayon),Russia,22443
Alexeevka,Russia,21923
Baymak,Russia,21344
"",Russia,20586
Gai,Russia,20500
Klimovsk,Russia,20430
Bologoe,Russia,19152
Dzhankoy,Russia,18779
Rtischevo,Russia,18442
Marx,Russia,18350
Goryachiy Klyuch,Russia,18148
Buynaxk,Russia,17734
Artemovsky,Russia,17724
Pugachev,Russia,17571
Irkutsky,Russia,17371
Mamadysh,Russia,17073
Trekhgorny,Russia,16564
Verkhniy Ufaley,Russia,16203
Kukmor,Russia,15807
Medvezhyegorsk,Russia,15670
Lodeynoe Pole,Russia,15171
Vereschagino,Russia,15087
svkh Rossia,Russia,15084
Mendeleevsk,Russia,14968
Talitsa,Russia,14927
Axay,Russia,14811
Agryz,Russia,14674
Valday,Russia,14608
Aginskoe,Russia,14505
Kolpino,Russia,14322
Uzhur,Russia,14318
Menzelinsk,Russia,14166
Dagestanskie Ogni,Russia,14149
Shexna,Russia,14145
Eniseysk,Russia,14087
Polysaevo,Russia,13999
Emanzhelinsk,Russia,13938
Yasny,Russia,13780
Elizovo,Russia,13618
Bakhchisaray,Russia,13537
Kem,Russia,13328
Baxan,Russia,12985
Zapolyarny,Russia,12836
Pestovo,Russia,12826
Saki,Russia,12758
Gryazovets,Russia,12308
Vytegra,Russia,12308
Alushta,Russia,12206
Kirsanov,Russia,12190
Chudovo,Russia,12161
Polyarnye Zori,Russia,12142
Totma,Russia,12127
Tsivilsk,Russia,11874
Kladbische,Russia,11862
Boxitogorsk,Russia,11791
Kargopol,Russia,11698
Olonets,Russia,11693
Pushkin,Russia,11642
Ruza,Russia,11628
Yaransk,Russia,11475
Galich,Russia,11428
Ardatov,Russia,11384
Nevel,Russia,11352
Polyarny,Russia,11326
Barysh,Russia,11262
Kireevsk,Russia,11180
Yasnogorsk,Russia,11168
Piter,Russia,11097
Belomorsk,Russia,10910
Nizhniy Lomov,Russia,10895
Aktanysh,Russia,10798
Ray,Russia,10746
Dno,Russia,10731
Danilov,Russia,10722
Shumikha,Russia,10635
Pervomaysky,Russia,10628
Boguchar,Russia,10627
Neftegorsk,Russia,10589
Okulovka,Russia,10566
Babaevo,Russia,10563
Ershov,Russia,10557
Kashin,Russia,10541
Turinsk,Russia,10449
Starodub,Russia,10405
Pudozh,Russia,10327
Rylsk,Russia,10295
Plast,Russia,10214
Pochep,Russia,10209
Krasnoslobodsk,Russia,10165
Pokrov,Russia,10068
Yadrin,Russia,9964
Plesetsk,Russia,9942
Omsky,Russia,9921
Belokurikha,Russia,9869
Pitkyaranta,Russia,9806
Zhirnovsk,Russia,9797
Agidel,Russia,9782
Yuryev-Polsky,Russia,9738
Krasnovishersk,Russia,9730
Toropets,Russia,9711
Kataysk,Russia,9650
Borodino,Russia,9644
Kurovskoe,Russia,9641
Konosha,Russia,9629
Kronshtadt,Russia,9616
Emva,Russia,9579
Chaplygin,Russia,9560
Svetogorsk,Russia,9518
