Name,Administration,Pop2010,Pop2019,Region,city,city2,1,2
Moskva,GMO,11612885,12432531,Central,Moscow,XYZ123,NA,NA
Sankt-Peterburg,GSP,4879566,5383890,North West,Saint Petersburg,Leningrad,NA,NA
Novosibirsk,NSB,1473754,1618039,Siberia,XYZ123,XYZ123,NA,NA
Jekaterinburg,SVE,1349772,1483119,Ural,Yekaterinburg,Sverdlovsk,NA,NA
Niznij Novgorod,NNO,1250619,1253511,Volga,Nizhny Novgorod,Gorkij,NA,NA
Kazan,TAT,1143535,1251969,Volga,Kazan,XYZ123,NA,NA
Celjabinsk,CEL,1130132,1200719,Ural,Chelyabinsk,XYZ123,NA,NA
Omsk,OMS,1154116,1164815,Siberia,XYZ123,XYZ123,Omsky,NA
Samara,SAM,1164685,1156608,Volga,XYZ123,Kujbysev,NA,NA
Rostov-na-Donu,ROS,1089261,1133307,Southern,Rostov-on-Don,XYZ123,NA,NA
Ufa,BAS,1062319,1124226,Volga,XYZ123,XYZ123,NA,NA
Krasnojarsk,KNJ,973826,1095286,Siberia,Krasnoyarsk,XYZ123,NA,NA
Voronez,VRN,975373,1054111,Central,Voronezh,XYZ123,NA,NA
Perm,PER,991162,1053934,Volga,Perm,XYZ123,NA,NA
Volgograd,VGG,1021215,1013468,Southern,XYZ123,XYZ123,NA,NA
Krasnodar,KND,744995,918145,Southern,XYZ123,XYZ123,NA,NA
Saratov,SAR,837900,841902,Volga,XYZ123,XYZ123,NA,NA
Tjumen,TUM,581907,788666,Ural,Tyumen,XYZ123,NA,NA
Toljatti,SAM,719632,702831,Volga,Tolyatti,XYZ123,NA,NA
Izevsk,UDM,627734,648944,Volga,Izhevsk,Ustinov,NA,NA
Barnaul,ALT,612401,632723,Siberia,XYZ123,XYZ123,NA,NA
Uljanovsk,ULJ,614786,627870,Volga,Ulyanovsk,Simbirsk,NA,NA
Irkutsk,IRK,587891,623479,Siberia,XYZ123,XYZ123,Irkutsky,NA
Chabarovsk,CBR,577441,617473,Far East,Khabarovsk,XYZ123,NA,NA
Jaroslavl,JAR,591486,609828,Central,Yaroslavl,XYZ123,NA,NA
Vladivostok,PRI,592034,605049,Far East,XYZ123,XYZ123,NA,NA
Machackala,DAG,572076,601286,Northern Caucasus,Makhachkala,XYZ123,NA,NA
Tomsk,TOM,524669,575352,Siberia,XYZ123,XYZ123,NA,NA
Orenburg,ORB,548331,565341,Volga,XYZ123,XYZ123,NA,NA
Kemerovo,KEM,532981,558662,Siberia,XYZ123,XYZ123,NA,NA
Novokuzneck,KEM,547904,552105,Siberia,Novokuznetsk,XYZ123,NA,NA
Rjazan,RAZ,524927,539789,Central,Ryazan,XYZ123,NA,NA
Astrachan,AST,520339,534241,Southern,Astrakhan,XYZ123,NA,NA
Nabereznyje Celny,TAT,513193,533907,Volga,Naberezhnye Chelny,Bresnev,NA,NA
Penza,PEN,517311,522317,Volga,XYZ123,XYZ123,NA,NA
Kirov,KIR,473695,512954,Volga,XYZ123,Viatka,NA,NA
Lipeck,LIP,508887,509420,Central,Lipetsk,XYZ123,NA,NA
Ceboksary,CUV,453721,495317,Volga,Cheboksary,XYZ123,NA,NA
Balasicha,MOS,346751,490047,Central,Balashikha,Zeleznodoroznyj,NA,NA
Kaliningrad,KLN,431902,482443,North West,XYZ123,Konigsberg,NA,NA
