Name,Administration,Pop2014,Pop2019,city,city2,city3,city4,1,2,3
Kyiv,KYIC,2868702,2950819,Kiev,XYZ123,Kyiv,NA,Kanev,NA,NA
Charkiv,CHA,1451132,1446107,Kharkiv,XYZ123,NA,NA,Chortkov,NA,NA
Odesa,ODE,1017022,1013159,Odessa,XYZ123,NA,NA,NA,NA,NA
Dnipro,DNI,993094,998103,Dnepropetrovsk,Dnipropetrovsk,NA,NA,NA,NA,NA
Doneck,DON,949825,913323,Donetsk,XYZ123,NA,NA,NA,NA,NA
Zaporizzija,ZAP,766268,738728,Zaporizhia,XYZ123,NA,NA,NA,NA,NA
Lviv,LVI,729038,724713,Lviv,XYZ123,NA,NA,NA,NA,NA
Kryvyj Rih,DNI,652137,624579,Kryvyi Rih,XYZ123,NA,NA,NA,NA,NA
Mykolaiv,MYK,494922,483186,Mykolaiv,XYZ123,NA,NA,NA,NA,NA
Mariupol,DON,458533,440367,Mariupol,Zdanov,NA,NA,NA,NA,NA
Luhansk,LUH,424113,403938,Luhansk,Vorosilovgrad,NA,NA,NA,NA,NA
Sevastopol,SEV,344853,397474,XYZ123,Akyar,NA,NA,NA,NA,NA
Vinnycja,VIN,372116,369839,Vinnytsia,XYZ123,NA,NA,NA,NA,NA
Makiivka,DON,351820,343158,Makiivka,XYZ123,NA,Makeevka,NA,NA,NA
Simferopol,KRY,338319,341536,XYZ123,Akmescid,NA,NA,NA,NA,NA
Cherson,CHE,297593,289096,Kherson,XYZ123,NA,NA,NA,NA,NA
Poltava,POL,295950,288324,XYZ123,XYZ123,NA,NA,NA,NA,NA
Cernihiv,CNH,295670,288268,Chernihiv,XYZ123,NA,NA,NA,NA,NA
Cerkasy,CKS,285170,276360,Cherkasy,XYZ123,NA,Cherkassy,NA,NA,NA
Chmelnyckyj,CHM,266095,271263,Khmelnytskyi,XYZ123,NA,Khmelnitsky,NA,NA,NA
Cernivcy,CNC,262129,266533,Chernivtsi,XYZ123,NA,Chernovtsy,NA,NA,NA
Zytomyr,ZYT,270922,265240,Zhytomyr,XYZ123,NA,Zhitomir,NA,NA,NA
Sumy,SUM,268874,263448,XYZ123,XYZ123,NA,NA,Saki,NA,NA
Rivne,RIV,249912,246535,Rivne,XYZ123,NA,Rovno,NA,NA,NA
Horlivka,DON,254416,244033,XYZ123,XYZ123,NA,Gorlovka,NA,NA,NA
Ivano-Frankivsk,IVA,227030,236602,Ivano-Frankivsk,XYZ123,NA,Ivano-Frankovsk,NA,NA,NA
Kamjanske,DNI,241475,233358,Kamianske,Dniprodzerzynsk,Dnipropetrovsk (Dnipro),Kamenskoe / Dneprodzerzhinsk,NA,NA,NA
Kropyvnycskyj,KIR,233333,227413,Kropyvnytskyi,Kirovhrad,Kropivnitskiy / Kirovograd,NA,NA,NA,NA
Ternopil,TER,217110,221820,Ternopil,XYZ123,NA,Ternopol,NA,NA,NA
Kremencuk,POL,225828,220065,Kremenchuk,XYZ123,NA,Kremenchug,NA,NA,NA
