Name,Administration,Pop2014,Pop2019,city,city2,city3,city4
Kyiv,KYIC,2868702,2950819,Kiev,XYZ123,Kyiv,
Charkiv,CHA,1451132,1446107,Kharkiv,XYZ123,,
Odesa,ODE,1017022,1013159,Odessa,XYZ123,,
Dnipro,DNI,993094,998103,Dnepropetrovsk,Dnipropetrovsk,,
Doneck,DON,949825,913323,Donetsk,XYZ123,,
Zaporizzija,ZAP,766268,738728,Zaporizhia,XYZ123,,
Lviv,LVI,729038,724713,Lviv,XYZ123,,
Kryvyj Rih,DNI,652137,624579,Kryvyi Rih,XYZ123,,
Mykolaiv,MYK,494922,483186,Mykolaiv,XYZ123,,
Mariupol,DON,458533,440367,Mariupol,Zdanov,,
Luhansk,LUH,424113,403938,Luhansk,Vorosilovgrad,,
Sevastopol,SEV,344853,397474,XYZ123,Akyar,,
Vinnycja,VIN,372116,369839,Vinnytsia,XYZ123,,
Makiivka,DON,351820,343158,Makiivka,XYZ123,,Makeevka
Simferopol,KRY,338319,341536,XYZ123,Akmescid,,
Cherson,CHE,297593,289096,Kherson,XYZ123,,
Poltava,POL,295950,288324,XYZ123,XYZ123,,
Cernihiv,CNH,295670,288268,Chernihiv,XYZ123,,
Cerkasy,CKS,285170,276360,Cherkasy,XYZ123,,Cherkassy
Chmelnyckyj,CHM,266095,271263,Khmelnytskyi,XYZ123,,Khmelnitsky
Cernivcy,CNC,262129,266533,Chernivtsi,XYZ123,,Chernovtsy
Zytomyr,ZYT,270922,265240,Zhytomyr,XYZ123,,Zhitomir
Sumy,SUM,268874,263448,XYZ123,XYZ123,,
Rivne,RIV,249912,246535,Rivne,XYZ123,,Rovno
Horlivka,DON,254416,244033,XYZ123,XYZ123,,Gorlovka
Ivano-Frankivsk,IVA,227030,236602,Ivano-Frankivsk,XYZ123,,Ivano-Frankovsk
Kamjanske,DNI,241475,233358,Kamianske,Dniprodzerzynsk,Dnipropetrovsk (Dnipro),Kamenskoe / Dneprodzerzhinsk
Kropyvnycskyj,KIR,233333,227413,Kropyvnytskyi,Kirovhrad,Kropivnitskiy / Kirovograd,
Ternopil,TER,217110,221820,Ternopil,XYZ123,,Ternopol
Kremencuk,POL,225828,220065,Kremenchuk,XYZ123,,Kremenchug
Luck,VOL,216076,216887,Lutsk,XYZ123,,
Bila Cerkva,KYI,211205,208944,Bila Tserkva,XYZ123,,Belaya Tserkov
Kramatorsk,DON,162811,153911,Kramatorsk,XYZ123,,
Melitopol,ZAP,156889,153112,Melitopol,XYZ123,,
Kerc,KRY,144626,151025,Kerch,XYZ123,,
Uzhorod,ZAK,115947,114897,Uzhhorod,XYZ123,,Uzhgorod
Nikopol,DNI,117857,110669,Nikopol,XYZ123,,
Berdjansk,ZAP,115500,110455,Berdiansk,XYZ123,,Berdyansk
Slovjansk,DON,116694,109812,Sloviansk,XYZ123,,Slavyansk
Evpatorija,KRY,107040,107650,Yevpatoria,Gozleve,Evpatoria,
Alcevsk,LUH,110474,107438,Alchevsk,Kommunarsk,,
Brovary,KYI,98874,106346,XYZ123,XYZ123,,
Pavlohrad,DNI,109739,105238,XYZ123,XYZ123,,Pavlograd
Severodoneck,LUH,108899,103479,Sievierodonetsk,XYZ123,,Severodonetsk
Kamjanec-Podilskij,CHM,102254,99755,Kamianets-Podilskyi,XYZ123,,Kamenets-Podolsky
Lysycansk,LUH,103459,97251,Lysychansk,XYZ123,,Lisichansk
Konotop,SUM,88477,86267,XYZ123,XYZ123,,
Mukaceve,ZAK,85487,85881,Mukacheve,XYZ123,,Mukachevo
Uman,CKS,86621,83162,Uman,XYZ123,,
Chrustalnyj,LUH,82228,80287,Khrustalni,Krasnyj Luc,Khrustalny / Krasny Luch,
Oleksandrija,KIR,82636,79289,Oleksandriia,XYZ123,,Alexandria
Jalta,KRY,78200,79272,Yalta,XYZ123,,
Enakieve,DON,81054,77968,Yenakiieve,XYZ123,,Enakievo
Drohobyc,LVI,76866,76044,Drohobych,XYZ123,,Drogobych
Berdyciv,ZYT,78312,75439,Berdychiv,XYZ123,,Berdichev
Sostka,SUM,78505,75024,Shostka,XYZ123,,
Kadiivka,LUH,77168,74546,XYZ123,Stachanov,Stakhanov,
Bachmut,DON,77474,74072,Bakhmut,Artemivsk,Bakhmut / Artemovsk,
Izmail,ODE,72501,71780,Izmail,XYZ123,,
Kostjantynivka,DON,76065,70841,Kostiantynivka,XYZ123,,Konstantinovka
Novomoskovsk,DNI,71299,70550,Novomoskovsk,XYZ123,,
Nizyn,CNH,72869,69046,Nizhyn,XYZ123,,Nezhin
Kovel,VOL,69032,68603,Kovel,XYZ123,,
Feodosija,KRY,69040,68029,Feodosia,XYZ123,,
Smila,CKS,68740,67530,XYZ123,XYZ123,,Smela
Cervonohrad,LVI,67993,66504,Chervonohrad,XYZ123,,Chervonograd
Kalus,IVA,67559,66406,Kalush,XYZ123,,
Pervomajsk,MYK,66672,64909,Pervomaisk,XYZ123,,Pervomaysk
Dovzansk,LUH,64895,63358,Dovzhansk,Sverdlovsk,Sverdlovsk / Dolzhansk,
Korosten,ZYT,65454,63300,Korosten,XYZ123,,
Pokrovsk,DON,64533,62449,Pokrovsk,Krasnoarmijsk,Pokrovsk / Krasnoarmeysk,
Boryspil,KYI,60160,62281,Boryspil,XYZ123,,Borispol
Kolomyja,IVA,61350,61269,Kolomyia,XYZ123,,Kolomyya
Stryj,LVI,59835,59488,Stryi,XYZ123,,Stry
Cornomorsk,ODE,59840,59261,Chornomorsk,Illicivsk,Chernomorsk / Ilichevsk,
Rubizne,LUH,59951,57299,Rubizhne,XYZ123,,Rubezhnoe
Charcyzk,DON,58641,56861,Khartsyzk,XYZ123,,
Druzkivka,DON,59596,56842,Druzhkivka,XYZ123,,Druzhkovka
Irpin,KYI,44023,56806,Irpin,XYZ123,,
Novohrad-Volynskyj,ZYT,56049,56108,Novohrad-Volynskyi,XYZ123,,Novograd-Volynsky
Lozova,CHA,57916,55255,XYZ123,XYZ123,,Lozovaya
Chystjakove,DON,56993,54339,Khystyakove,Torez,,
Pryluky,CNH,58202,54167,XYZ123,XYZ123,,Priluki
Enerhodar,ZAP,54536,53567,Enerhodar,XYZ123,,Energodar
Antracyt,LUH,54242,52749,Antratsyt,XYZ123,,Antratsit
Novovolynsk,VOL,53298,51564,Novovolynsk,XYZ123,,
Horisni Plavni,POL,51958,51215,Horishni Plavni,Komsomolsk,Gorishnie Plavni / Komsomolsk,
Bilhorod-Dnistrovskyj,ODE,50105,48967,Bilhorod-Dnistrovskyi,XYZ123,,Belgorod-Dnestrovsky
Sachtarsk,DON,50468,48759,Shakhtarsk,XYZ123,,
Myrnohrad,DON,49519,47957,XYZ123,Dymytrov,,
Ochtyrka,SUM,48881,47829,Okhtyrka,XYZ123,,Akhtyrka
Izjum,CHA,51175,47430,Izium,XYZ123,,Izyum
Marhanec,DNI,48345,46616,Marhanets,XYZ123,,
Snizne,DON,48003,46377,Snizhne,XYZ123,,
Fastiv,KYI,48098,45907,XYZ123,XYZ123,,Fastov
Rovenky,LUH,47370,45898,Rovenky,XYZ123,,Rovenki
Nova Kachovka,CHE,47638,45819,Nova Kakhovka,XYZ123,,Novaya Kakhovka
Brjanka,LUH,46830,45408,Brianka,XYZ123,,
Lubny,POL,47397,45379,XYZ123,XYZ123,,
Svitlovodsk,KIR,46372,44857,Svitlovodsk,XYZ123,,Svetlovodsk
Zovti Vody,DNI,47284,44128,Zhovti Vody,XYZ123,,
Sorokyne,LUH,44014,43012,Sorokine,Krasnodon,,
Varas,RIV,41560,42350,Varash,Kuznecovsk,Varash / Kuznetsovsk,
Sepetivka,CHM,43255,41599,Shepetivka,XYZ123,,
Vysneve,KYI,38011,40919,Vyshneve,XYZ123,,
Podilsk,ODE,40717,40406,Podilsk,Kotovsk,Podolsk / Kotovsk,
Juznoukrainsk,MYK,40378,39674,Yuzhnoukrainsk,XYZ123,,
Myrhorod,POL,40876,39575,XYZ123,XYZ123,,Mirgorod
Romny,SUM,41951,39532,XYZ123,XYZ123,,
