city.title,country.title,N
Shepetovka,Ukraine,28400
Khartsyzsk,Ukraine,27326
Shakhtersk,Ukraine,25132
Starokonstantinov,Ukraine,22711
Marganets,Ukraine,22649
Snezhnoe,Ukraine,22275
Zheltye Vody,Ukraine,22262
Zhmerinka,Ukraine,22238
Mirnograd / Dimitrov,Ukraine,21688
Vinogradov,Ukraine,20767
Chortkov,Ukraine,20209
Mogilev-Podolsky,Ukraine,19916
Vasilkov,Ukraine,19749
Neteshin,Ukraine,19332
Dolina,Ukraine,19272
Kostopol,Ukraine,19135
Malin,Ukraine,18917
Nadvornaya,Ukraine,18607
Irpen,Ukraine,18506
Genichesk,Ukraine,18488
Dobropolye,Ukraine,18325
Bakhchisaray,Ukraine,18297
Kanev,Ukraine,18071
Gorodok,Ukraine,17738
Saki,Ukraine,17345
Obukhov,Ukraine,17090
Chernevtsy,Ukraine,17046
Pereyaslav-Khmelnitsky,Ukraine,16737
Tyachev,Ukraine,16648
Zolochev,Ukraine,16566
Gaysin,Ukraine,16497
Borislav,Ukraine,16494
Chuguev,Ukraine,16474
Kazatin,Ukraine,16364
Khmelnik,Ukraine,16276
Korostyshev,Ukraine,16225
Svalyava,Ukraine,16068
Znamenka,Ukraine,16056
Krasnograd,Ukraine,15979
Starobelsk,Ukraine,15689
Ovruch,Ukraine,15639
Bar,Ukraine,15430
Buchach,Ukraine,15309
Skadovsk,Ukraine,14916
Lebedin,Ukraine,14861
Gadyach,Ukraine,14856
Trostyanets,Ukraine,14471
Volochisk,Ukraine,14002
Zdolbunov,Ukraine,13951
Sinelnikovo,Ukraine,13588
Ternovka,Ukraine,13528
Bryanka,Ukraine,13489
Irshava,Ukraine,13270
Rakhov,Ukraine,13246
Ukrainka,Ukraine,13234
Avdeevka,Ukraine,13229
Balakleya,Ukraine,13194
Tulchin,Ukraine,13160
Novoyavorovsk,Ukraine,12954
Liman / Krasny Liman,Ukraine,12761
Yasinovataya,Ukraine,12708
Slavutich,Ukraine,12621
Berezhany,Ukraine,12541
Pripyat,Ukraine,12514
Krasilov,Ukraine,12372
Chernobyl,Ukraine,12270
Ladyzhin,Ukraine,11906
Aleshki / Tsyurupinsk,Ukraine,11650
Kalinovka,Ukraine,11621
Pervomaysky,Ukraine,11603
Beregovo,Ukraine,11306
Snyatin,Ukraine,11245
Dneprorudnoe,Ukraine,11139
Yuzhny,Ukraine,11108
Pologi,Ukraine,11052
